epoch,train_loss,val_loss,loss,precision,recall,f1,pr_auc
1,0.3850026166397726,0.3740344474516293,0.3740344474516293,0.7578984946748378,0.9486148346738159,0.8425996361832313,0.8771310738176806
2,0.37082705780708775,0.3645232596019707,0.3645232596019707,0.7523725834797891,0.9564343163538874,0.8422191619122565,0.8819274844909254
3,0.3692449673146762,0.3668429923824745,0.3668429923824745,0.7469228114574945,0.9670837056896038,0.8428636334133836,0.881571942528685
4,0.36556621531320715,0.363305589202607,0.363305589202607,0.7562776957163959,0.9532320524277629,0.8434092181991896,0.8843775045165443
5,0.36367795534096126,0.3600509090588825,0.3600509090588825,0.7474351585014409,0.9657432231158772,0.8426798362466696,0.8868738115875356
6,0.3637531630956873,0.35629102590650613,0.35629102590650613,0.7809052156469408,0.9276884122728627,0.8479918311776719,0.8875659954397593
7,0.3630233643933533,0.3595218132037928,0.3595218132037928,0.75856144092902,0.9534554661900506,0.8449151983105656,0.889147688470386
8,0.357762055867317,0.3623291296534019,0.3623291296534019,0.7473563218390804,0.9684241882633303,0.8436486311145712,0.8915001827493692
9,0.3592531227826364,0.35734818285644643,0.35734818285644643,0.7495086137125679,0.9655198093535895,0.8439106945258088,0.8920457398911469
10,0.3575237740113512,0.35960472344171884,0.35960472344171884,0.7452425852905881,0.9711796246648794,0.8433407702007955,0.8933756138466508
11,0.35491825018766315,0.3581410182879703,0.3581410182879703,0.747972623224248,0.9684986595174263,0.8440694466980366,0.8910103728788498
12,0.3544863534333861,0.35793515783135255,0.35793515783135255,0.750332619887777,0.965966636878165,0.8446036138694449,0.8919246371722824
13,0.3546948446354812,0.35319318995617405,0.35319318995617405,0.7502601456815817,0.9664879356568364,0.8447568834212068,0.8941253559571039
14,0.3522182939045497,0.35240811605264644,0.35240811605264644,0.7701980318308832,0.9442210306821567,0.8483773837403814,0.8960616663744124
15,0.35353636760827395,0.35585678656502523,0.35585678656502523,0.7499855916085528,0.9690944295501936,0.845576529451899,0.8942852841020932
16,0.35016248484777307,0.3473932316692749,0.3473932316692749,0.7699399526899982,0.9453380994935955,0.8486712351663045,0.8952889943047095
17,0.35170245656227933,0.34689650081171847,0.34689650081171847,0.772919087517583,0.941167709264224,0.8487860572886934,0.8953063457561081
18,0.35131173534387994,0.3526020663799626,0.3526020663799626,0.7492358267489475,0.9674560619600834,0.8444762245262781,0.8970410501926044
19,0.348097123430766,0.3524283851432328,0.3524283851432328,0.7672289156626506,0.948465892165624,0.8482749433861729,0.8968787349339991
20,0.350917912606351,0.354121110241602,0.354121110241602,0.7498124747562172,0.9677539469764671,0.844955947852661,0.8959548699805289
21,0.35137097245251087,0.3504950706321414,0.3504950706321414,0.7673843555877209,0.9475722371164731,0.8480122629877703,0.8959813821243968
22,0.34680383430296624,0.3500720995782626,0.3500720995782626,0.7689057879171948,0.9487637771820078,0.8494182751608494,0.8983850586446936
23,0.3442384364612035,0.35109219916976325,0.35109219916976325,0.7494104790935756,0.9703604408698242,0.8456920331007626,0.8988541766066475
24,0.34609807326600006,0.34626426395803395,0.34626426395803395,0.7526096033402923,0.9664879356568364,0.846244131455399,0.8996908433662708
25,0.3448673718161014,0.3482157171067625,0.3482157171067625,0.7487362132352942,0.9706583258862079,0.8453755350888572,0.899385912947584
26,0.34624270668577123,0.3487400767826798,0.3487400767826798,0.7506487515137535,0.9693923145665773,0.8461113458350937,0.8998269681451905
27,0.34362365986640764,0.3492450926415991,0.3492450926415991,0.7608180201541197,0.9558385463211201,0.8472506436068388,0.9001034986851775
28,0.34471642221183457,0.34584162167393334,0.34584162167393334,0.7732877548528874,0.9434018468871016,0.8499161355249916,0.9000908029318961
29,0.3466605695685046,0.3487121435380218,0.3487121435380218,0.7510546084946548,0.967902889484659,0.8458009305957765,0.8999259079444947
30,0.34533732437213616,0.34919431123993183,0.34919431123993183,0.754409531596776,0.9619451891569855,0.8456301145662848,0.9000683899927747
31,0.34483836896795045,0.344656564014973,0.344656564014973,0.77209726443769,0.945859398272267,0.8501907758216748,0.899711750073587
