epoch,train_loss,val_loss,loss,mae,rmse,r2,count_ge_0.30,mae_ge_0.30,rmse_ge_0.30,count_ge_0.40,mae_ge_0.40,rmse_ge_0.40,count_ge_0.50,mae_ge_0.50,rmse_ge_0.50,count_ge_0.60,mae_ge_0.60,rmse_ge_0.60
1,0.03843271952868297,0.0027134659928980016,0.0027134659928980016,0.038939978927373886,0.05208776226683718,0.36695390939712524,16239,0.03576971963047981,0.05030854687576367,3538,0.07749080657958984,0.08448980135376699,0,,,0,,
2,0.002855959012650616,0.0022670888381426113,0.0022670888381426113,0.03351675346493721,0.04761249808611657,0.4710606336593628,16239,0.026758024469017982,0.04051336225374688,3538,0.05547235906124115,0.06611578188608597,0,,,0,,
3,0.0024720280037569355,0.00222242617214067,0.00222242617214067,0.032814379781484604,0.04714164542347728,0.48147058486938477,16239,0.026175817474722862,0.0402478669979326,3538,0.05149155482649803,0.06274487164735756,0,,,0,,
4,0.002415762791879696,0.0022311561417339715,0.0022311561417339715,0.032668933272361755,0.047234717127292526,0.47942107915878296,16239,0.025870485231280327,0.040363302934755776,3538,0.05461866781115532,0.06566321985724136,0,,,0,,
5,0.0023688126267604847,0.0021776319848436673,0.0021776319848436673,0.03178156912326813,0.0466657053983797,0.49188780784606934,16239,0.025036193430423737,0.03974900785631006,3538,0.04716268181800842,0.061661555779119075,0,,,0,,
6,0.0023232791582674926,0.002181771257497623,0.002181771257497623,0.031881023198366165,0.0467079932689694,0.4909664988517761,16239,0.026009390130639076,0.040633394618834626,3538,0.04253518953919411,0.059644834229106186,0,,,0,,
7,0.002300674497876001,0.00219613830045939,0.00219613830045939,0.032422151416540146,0.046862943410072994,0.48758357763290405,16239,0.024783141911029816,0.038229736572419196,3538,0.048192087560892105,0.06045706109555602,0,,,0,,
8,0.0022899759041492716,0.00217108895520727,0.00217108895520727,0.03290075436234474,0.04659511534355346,0.4934238791465759,16239,0.026912391185760498,0.04066149071128828,3538,0.05310812592506409,0.06468403518998844,0,,,0,,
9,0.002267755236046515,0.002180238340791883,0.002180238340791883,0.033120594918727875,0.04669352509886487,0.49128180742263794,16239,0.02610989660024643,0.03894408128173464,3538,0.04992448538541794,0.06186819927514497,0,,,0,,
10,0.0022485533975838226,0.002161086931572122,0.002161086931572122,0.03247535973787308,0.046487680786456466,0.49575716257095337,16239,0.02544385753571987,0.03883997896933054,3538,0.049959465861320496,0.0609393607827498,0,,,0,,
11,0.00224841197950655,0.002154926807714342,0.002154926807714342,0.03214680030941963,0.04642187593184669,0.49718374013900757,16239,0.0258372463285923,0.03944114512617505,3538,0.042563240975141525,0.057485482447326236,0,,,0,,
12,0.0022271198937787785,0.0021425121021851645,0.0021425121021851645,0.031088940799236298,0.04628786043223931,0.5000827312469482,16239,0.024227093905210495,0.03908666369985234,3538,0.04325747489929199,0.05910990585539516,0,,,0,,
